"","id","price","title","body","lat","long","posted","updated","header","file","bedrooms","bath","sqft","datePosted","parking","laundry","type","furnished"
"_apa_d_1-bed-1-bath-steps-from-ucd_6701452631.html","6701452631",1530,"$1530 / 1br - 1 Bed 1 Bath Steps from UCD (Davis)","
            QR Code Link to This Post
            
        
Description

Just a short walk to the  UC Davis campus.  Spacious clean one bedroom one bath unit.  Close to bus lines and downtown Davis.  Recently renovated with large living area, New flooring, Paint, parking, and dual closets in bedroom.  On Site laundry room. Pets will be considered.

Features
Air conditioning
    Refrigerator
    Oven / range
    Heat - gas
    Laundry room
    Parking

We have multiple units available throughout the complex with different move in date.

 To schedule a showing or view more listings, please visit our website:

* www.zabace.com *

",38.5538,-121.7418,"2018-09-18T15:20:56-0700",NA,"1BR / 1Ba","_apa_d_1-bed-1-bath-steps-from-ucd_6701452631.html",1,1,NA,2018-09-18,NA,"laundry on site","apartment",FALSE
"_apa_d_1-bed-1-bath-wood-floors-lots_6700223848.html","6700223848",1395,"$1395 / 1br - 580ft2 - 1 bed, 1 bath, wood floors, lots of storage, sunroom, parking, pets ok (2449 Elendil Lane)","
            QR Code Link to This Post
            
        
For Rent:  1 bed unit with wood floors throughout, quartz counters, lots of storage, sunroom, onsite laundry,  private yard, off street parking.  Ready to live in peaceful VHA, green thumbs this is an ideal location.   Small pets ok with additional deposit.
Rent:  $1395.00
Deposit: $1000.00
Small Pets ok with additional deposit
www.laughton-properties.com
BRE # 00857522show contact info
 ext 234",38.547712,-121.781216,"2018-09-17T10:23:06-0700","2018-09-21T11:53:05-0700","1BR / 1Ba","_apa_d_1-bed-1-bath-wood-floors-lots_6700223848.html",1,1,580,2018-09-17,"off-street parking","laundry in bldg","apartment",FALSE
"_apa_d_1-bedroom-apartment-available_6700427774.html","6700427774",1334,"$1334 / 1br - 600ft2 - 1 Bedroom Apartment Available in Beautiful Community! (Davis)","
            QR Code Link to This Post
            
        
Community AmenitiesLaundry Facilities Ã¢ÂÂ¢ Ample parking Ã¢ÂÂ¢ Sparkling Pool Ã¢ÂÂ¢ Wireless Internet Ã¢ÂÂ¢ BBQ/Picnic Area Ã¢ÂÂ¢ Near Public Transportation Ã¢ÂÂ¢ Bike Path Ã¢ÂÂ¢ Fitness Center Ã¢ÂÂ¢ Courtesy PatrolWelcome to Pinecrest Apartments located in the heart of Davis, California. We have fantastic one- and two-bedroom apartment homes. Amenities and services abound at Pinecrest, including acommon area WIFI , all standard appliances, 24-hour fitness center, refreshing pool, and professional, friendly management. Pinecrest has all the qualities to make you feel right at home.Please contact us and we will gladly answer any questions you have. Pinecrest is conveniently locatedÃÂ just steps from the Davis Unitrans E bus line and is approximately one mile from the UC Davis campus.Call today to set up a tour of your new apartment home.  Url: http://www.pinecrest-davis.com/t/ad?ref=9aed19c56f6cdc9bbca552f06570d3fdPinecrest is conveniently locatedÃÂ just steps from the Davis Unitrans E bus line and is approximately one mile from the UC Davis campusPinecrest Apartments920 Cranbrook CourtDavis, CA 95616Mon-Fri: 09:00 AM-06:00 PMSaturday: 09:00 AM-04:00 PMSpring Hours: Monday-Friday 9 a.m. to 6 p.m.; Saturday 9 a.m. to 4 p.m.Fall Hours: Monday-Friday 8 a.m. to 5 p.m.; Saturday 9 a.m. to 4 p.m.We are a pet-friendly community, but for the safety and comfort of all our residents, breed restrictions applyPets - Max 2 allowed, Max weight 40 lb each, Deposit $300.00Comments: Breed restrictions apply.ÃÂ  A deposit and rent charge is required for each pet.Cats -  allowedDogs -  allowedFederal law prohibits housing discrimination on the basis of race, color, national origin, religion, sex, familial status, or disability.* Prices and availability are subject to change without notice.",38.560206,-121.738772,"2018-09-17T13:18:01-0700",NA,"1BR / 1Ba","_apa_d_1-bedroom-apartment-available_6700427774.html",1,1,600,2018-09-17,"off-street parking","laundry on site","apartment",FALSE
"_apa_d_1-bedroom-apartment-available_6702355361.html","6702355361",1597,"$1597 / 2br - 600ft2 - 1 Bedroom Apartment Available in Beautiful Community! (Davis)","
            QR Code Link to This Post
            
        
Community AmenitiesLaundry Facilities Ã¢ÂÂ¢ Ample parking Ã¢ÂÂ¢ Sparkling Pool Ã¢ÂÂ¢ Wireless Internet Ã¢ÂÂ¢ BBQ/Picnic Area Ã¢ÂÂ¢ Near Public Transportation Ã¢ÂÂ¢ Bike Path Ã¢ÂÂ¢ Fitness Center Ã¢ÂÂ¢ Courtesy PatrolWelcome to Pinecrest Apartments located in the heart of Davis, California. We have fantastic one- and two-bedroom apartment homes. Amenities and services abound at Pinecrest, including acommon area WIFI , all standard appliances, 24-hour fitness center, refreshing pool, and professional, friendly management. Pinecrest has all the qualities to make you feel right at home.Please contact us and we will gladly answer any questions you have. Pinecrest is conveniently locatedÃÂ just steps from the Davis Unitrans E bus line and is approximately one mile from the UC Davis campus.Call today to set up a tour of your new apartment home.  Url: http://www.pinecrest-davis.com/t/ad?ref=9aed19c56f6cdc9bbca552f06570d3fdPinecrest is conveniently locatedÃÂ just steps from the Davis Unitrans E bus line and is approximately one mile from the UC Davis campusPinecrest Apartments920 Cranbrook CourtDavis, CA 95616Mon-Fri: 09:00 AM-06:00 PMSaturday: 09:00 AM-04:00 PMSpring Hours: Monday-Friday 9 a.m. to 6 p.m.; Saturday 9 a.m. to 4 p.m.Fall Hours: Monday-Friday 8 a.m. to 5 p.m.; Saturday 9 a.m. to 4 p.m.We are a pet-friendly community, but for the safety and comfort of all our residents, breed restrictions applyPets - Max 2 allowed, Max weight 40 lb each, Deposit $300.00Comments: Breed restrictions apply.ÃÂ  A deposit and rent charge is required for each pet.Cats -  allowedDogs -  allowedFederal law prohibits housing discrimination on the basis of race, color, national origin, religion, sex, familial status, or disability.* Prices and availability are subject to change without notice.",38.560206,-121.738772,"2018-09-19T15:32:37-0700",NA,"2BR / 1Ba","_apa_d_1-bedroom-apartment-available_6702355361.html",2,1,600,2018-09-19,"off-street parking","laundry on site","apartment",FALSE
"_apa_d_1-bedroom-apt-in-davis-good_6703333151.html","6703333151",1385,"$1385 / 1br - 600ft2 - 1 bedroom apt in Davis, good for a couple with a pet (Davis, CA)","
            QR Code Link to This Post
            
        
We are moving out of our apartment in the J Street Apartments in early to mid-October (moving to West Sacramento) and are looking for someone to take over our lease. 
The apartment has served us well. It is quite spacious--the bedroom is large, has two closets (one, a walk-in closet and another that goes across an entire wall), a decent kitchen with good counter space, and a spacious living room as well. The bathroom is small (just a little bit larger than a bathroom stall), but everything else is very spacious.
The heater is a wall unit and the air conditioning is a window unit. We regularly use the ceiling fan in the bedroom during the summers because it's difficult for the air conditioning to circulate into the bedroom. There is no dishwasher. The laundry room is right next to the apartment, so doing laundry is really easy. (All laundry is coin-operated, liquid detergent only.)
The complex is great in that it allows dogs and cats. There are no breed or size restrictions on dogs. We were happy to be able to get a dog during our time here. There are plenty of nice lawns and a good number of bag dispensers and garbage cans that make cleaning up after your pet easy. The complex is also fairly close to a large community park on F Street that has a dog park. It also only takes 5 minutes by car to get to Toad Hollow Dog Park on 2nd street from the apartment.
You will have your own parking spot, and there are a good number of guest parking spaces in the lot as well. 
The apartment complex says they provide internet, but the internet service through the complex is actually quite poor. We ended up getting our own service to avoid the hassle of constantly losing internet. Internet is about $35 per month. (Water, sewer and garbage are included in the rent; reliable internet and electricity/gas are not.)
The apartment is on Unitrans route E, so getting to the UC Davis campus and downtown is very easy. Downtown is also about 5 minutes away by car, 8-10 minutes by bike. 
Deposit is $1685. Deposit negotiable under certain circumstances. 
Contact me by text  show contact info
 or by email (I check this less often than texts but will try to be better about it after posting this ad). If you want to see the place we can set up a time for you to see it.
We plan to move out by the second week of October. You would be able to move in by October 17.    ",38.555106,-121.740072,"2018-09-20T18:02:41-0700","2018-09-20T19:35:33-0700","1BR / 1Ba","_apa_d_1-bedroom-apt-in-davis-good_6703333151.html",1,1,600,2018-09-20,"off-street parking","laundry on site","apartment",FALSE
"_apa_d_1-bedroom-available-now_6703057752.html","6703057752",1851,"$1851 / 1br - 654ft2 - 1 Bedroom Available Now - Washer/Dryer - Near UC Davis (Davis)","
            QR Code Link to This Post
            
        
Welcome to Silverstone Apartments located in the heart of Davis, California. Silverstone offers a variety of floor plans to suit your lifestyle. We have fantastic studios, one and two bedroom apartment homes, as well as 3 bedroom town-homes. Silverstone is conveniently located close to the Davis P, Q, and L bus lines and is approximately two miles from the UC Davis campus.Community AmenitiesSpa Ã¢ÂÂ¢ 24-Hour Fitness Center Ã¢ÂÂ¢ 24-Hour Laundry Facility Ã¢ÂÂ¢ Wireless Internet Ã¢ÂÂ¢ Near Public Transportation Ã¢ÂÂ¢ Sparkling Pool Ã¢ÂÂ¢ Ample Parking Ã¢ÂÂ¢ Bike Racks at all BuildingsApartment AmenitiesCentral Heat and Air Ã¢ÂÂ¢ Patio/Balcony Ã¢ÂÂ¢ Washer/Dryers* Ã¢ÂÂ¢ Cable Ready Ã¢ÂÂ¢ Hardwood Inspired Floors Ã¢ÂÂ¢ Kitchen Pantry* Ã¢ÂÂ¢ Linen Closets* Ã¢ÂÂ¢ Microwave Ã¢ÂÂ¢ Quartz Counter-tops Ã¢ÂÂ¢ Refrigerator Ã¢ÂÂ¢ Stainless Steel Efficient Appliances Ã¢ÂÂ¢ Walk-in Closets*Have any questions? Let our friendly staff give you more information or set up a tour today.  Url: http://www.silverstone-davis.com/t/ad?ref=f4758ea98794cd88fcaca0f7d44da22aSilverstone2400 Pole LineDavis, CA 95618We are open Monday -Saturday:Mon-Fri: 08:00 AM-05:00 PMSaturday: 10:00 AM-04:00 PMMon-Fri: 9AM-6PMSaturday: 10AM-4PMWe welcome you and your pets to Silverstone Apartments!Pets -  allowed, Rent $20.00, Deposit $400.00Comments: Breed restrictions apply.  A deposit and rent charge is required for each pet.Cats -  allowedDogs -  allowedFederal law prohibits housing discrimination on the basis of race, color, national origin, religion, sex, familial status, or disability.",38.564706,-121.731072,"2018-09-20T12:30:30-0700",NA,"1BR / 1Ba","_apa_d_1-bedroom-available-now_6703057752.html",1,1,654,2018-09-20,NA,"w/d in unit","apartment",FALSE
"_apa_d_1546-pastal-way_6702095244.html","6702095244",2850,"$2850 / 4br - 1833ft2 - 1546 Pastal Way (Davis)","
            QR Code Link to This Post
            
        
4 bedroom/3 bath, 2 story home, family room with fireplace and living room/dining area.  2 car garage.  Low maintenance yards. Near parks and transportation.  Tenant pays all utilities.  One year lease.  Deposit $4275.00    ",38.559734,-121.697793,"2018-09-19T11:10:08-0700",NA,"4BR / 3Ba","_apa_d_1546-pastal-way_6702095244.html",4,3,1833,2018-09-19,NA,"w/d hookups","house",FALSE
"_apa_d_1615-st-property-management_6703843340.html","6703843340",2200,"$2200 / 3br - 1000ft2 - 1615 L St. S & S Property Management (Davis)","
            QR Code Link to This Post
            
        
You will love this 3 bedroom 1 bath 2 car garage single family home located close to shopping, schools, and parks. The kitchen includes a fridge, an electric stove, dishwasher, and disposal. There are W/D hook-ups in the garage, hardwood flooring throughout, and central A/C.  This home features a large backyard with a covered patio and deck perfect for entertaining, fruit trees, and gardening planter boxes. Water, sewer, and garbage included. Deposit is $2,250.    ",38.560831,-121.73537,"2018-09-21T11:02:42-0700",NA,"3BR / 1Ba","_apa_d_1615-st-property-management_6703843340.html",3,1,1000,2018-09-21,"attached garage","w/d hookups","house",FALSE
"_apa_d_2-bdrm-15-bath-special-no_6697122520.html","6697122520",1960,"$1960 / 2br - 1100ft2 - 2 bdrm 1.5 bath "" Special"" NO APPLICATION FEES!!! (Davis)","
            QR Code Link to This Post
            
        
Sorrento Apartments in South Davis has a 2 bedroom 1.5 bath TH -
The rent is 1960 (+$40 Washer/Dryer Option)
Security deposit is $900 
Utilities such as water, PG&E, and internet is not included
When you move in First and Last month's rent is expected.
Perks:
Safeway is down the street
W and M line down the street
Pool/Small Gym
Finals Goodies and treats
Daily Cookies, Coffee, Tea, and popcorn in the office
Packages goes to the office, so less stolen/lost packages
Free parking spaces
We have a model home available to give tours. Message me or call Sorrento Avalon Brisa at  show contact info
 M-F 9AM-6PM and Sat 11AM-4PM",38.540376,-121.724456,"2018-09-13T14:07:56-0700","2018-09-20T13:08:48-0700","2BR / 1.5Ba","_apa_d_2-bdrm-15-bath-special-no_6697122520.html",2,5,1100,2018-09-13,NA,NA,"apartment",FALSE
"_apa_d_2-bed-1-bath-great-location_6701429263.html","6701429263",1600,"$1600 / 2br - 2 Bed 1 Bath Great location in DAVIS (Davis)","
            QR Code Link to This Post
            
        
This spacious 2 bedroom 1 bathroom apartment has a great location on ""F""Street very close to downtown Davis. The unit is spacious with a large amount of cabinet and storage space, large living room, two laundry rooms at the complex, and a pool! Make a showing using the link below before these units are gone. Will consider pets.",38.5538,-121.7418,"2018-09-18T14:54:38-0700",NA,"2BR / 1Ba","_apa_d_2-bed-1-bath-great-location_6701429263.html",2,1,NA,2018-09-18,NA,"laundry on site","apartment",FALSE
